year,top_10,11_to_20,21_to_40,all_others
1896,0.9836065573770492,0.01639344262295082,0.0,0.0
1900,0.9084507042253521,0.09154929577464789,0.0,0.0
1904,1.0,0.0,0.0,0.0
1908,0.9135802469135802,0.08641975308641975,0.0,0.0
1912,0.8717948717948718,0.1282051282051282,0.0,0.0
1920,0.8904109589041096,0.1050228310502283,0.0045662100456621,0.0
1924,0.8227513227513228,0.15608465608465608,0.021164021164021163,0.0
1928,0.7522935779816514,0.18042813455657492,0.0672782874617737,0.0
1932,0.8386167146974063,0.138328530259366,0.023054755043227664,0.0
1936,0.7512820512820513,0.20512820512820512,0.04358974358974359,0.0
1948,0.754257907542579,0.18248175182481752,0.06326034063260341,0.0
1952,0.7320261437908496,0.16122004357298475,0.10021786492374728,0.006535947712418301
1956,0.7671840354767184,0.16186252771618626,0.07095343680709534,0.0
1960,0.789587852494577,0.1301518438177874,0.07158351409978309,0.008676789587852495
1964,0.7698412698412699,0.16071428571428573,0.06746031746031746,0.001984126984126984
1968,0.7058823529411765,0.18216318785578747,0.10436432637571158,0.007590132827324478
1972,0.735,0.175,0.07666666666666666,0.013333333333333334
1976,0.7879282218597063,0.13866231647634583,0.07177814029363784,0.0016313213703099511
1980,0.8256735340729001,0.12044374009508717,0.05388272583201268,0.0
1984,0.748546511627907,0.1744186046511628,0.06686046511627906,0.010174418604651164
1988,0.7239512855209743,0.17456021650879566,0.08525033829499323,0.016238159675236806
1992,0.6429447852760736,0.20736196319018405,0.10920245398773006,0.04049079754601227
1996,0.5546318289786223,0.20902612826603326,0.16152019002375298,0.07482185273159145
2000,0.5512405609492989,0.1941747572815534,0.15857605177993528,0.09600862998921252
2004,0.5561555075593952,0.19438444924406048,0.15226781857451405,0.09719222462203024
2008,0.5657620041753654,0.17849686847599164,0.1430062630480167,0.1127348643006263
2012,0.5611285266457681,0.17136886102403343,0.16614420062695925,0.1013584117032393
2016,0.5323741007194245,0.1778006166495375,0.18499486125385406,0.10483042137718397
2020,0.5507109004739337,0.17061611374407584,0.15071090047393365,0.12796208530805686
